詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,石鹸,せっけん (sekken),肥皂,せっけんで顔をあらいます。
,背広,せびろ (sebiro),西裝,出張しますから背広を2着かいました。
,狭い,せまい (semai),狹小的,この部屋はすこしせまいですね。
,ゼロ,ゼロ (zero),零,
,先月,せんげつ (sengetsu),上個月,先月はいそがしかったです。
,先週,せんしゅう (senshuu),上星期,先週の土よう日と日よう日はしゅっちょうでした。
,洗濯,せんたく (sentaku),洗衣服,天気がいいですからせんたくします。
,全部,ぜんぶ (zenbu),全部,日本の有名な小説をぜんぶ読みました。
,そう,そう (sou),是、對,これはペンですか。はい、そうです。
,掃除,そうじ (souji),打掃,へやがきたないですからそうじしてください。
,そして,そして (soshite),然後,この本は新しいです。そして安いです。
,そこ,そこ (soko),那裡,そこは事務所です。
,そちら,そちら (sochira),那裡,電話はそちらです。
,そっち,そっち (sotchi),那裡,そっちへ行かないで。
,外,そと (soto),外面,部屋の外にいぬがいます。
,その,その (sono),那個,そのシャツはいくらですか。
,そば,そば (soba),旁邊、附近,ぎんこうのそばにこうえんがあります。
,空,そら (sora),天空,きょうはそらがきれいですね。
,それ,それ (sore),那個,それはなんですか。
,それから,それから (sorekara),然後,本を読みました。それから、父に手紙を書きました。
,それでは,それでは (soredeha),那麼,それではまた、お元気で
,～台,～だい (dai),~輛,わたしはパソコンを２だいもっています。
,大学,だいがく (daigaku),大學,ここは大学です。
,大使館,たいしかん (taishikan),大使館,大使館へ資料をもらいに行きます。
,大丈夫,だいじょうぶ (daijoubu),沒關係,おかげさまで元気になりました、もう大丈夫です。
,大好き,だいすき (daisuki),最喜歡,すてきなセーターありがとう、おとうさん大好き！
,大切,たいせつ (taisetsu),重要的,これは大切ですから忘れないでください。
,台所,だいどころ (daidokoro),廚房,ワインは台所にあります。
,大変,たいへん (taihen),嚴重,この問題はたいへん（＝とても）難しい。
,高い,たかい (takai),昂貴、高的,高い山
,たくさん,たくさん (takusan),許多,今日は宿題がたくさんあります。
,タクシー,タクシー (takushii),計程車,タクシーを呼びましょうか。
,だけ,だけ (dake),只有,さいふにお金が50円しかありません。
,出す,だす (dasu),拿出,レポートを出しました。   手紙を出します。
,立つ,たつ (tatsu),站立,みなさん、立ってください。
,建物,たてもの (tatemono),建築物,銀行はあの建物の前にあります。
,楽しい,たのしい (tanoshii),快樂的,パーティーはとても楽しかったです。
