詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,会う,あう (au),見面、碰上,6時に駅で会いましょう。
,青,あお (ao),藍色,信号が青になった。
,青い,あおい (aoi),藍色的,青い車を買いました。
,赤,あか (aka),紅色,まだ赤だから歩いてはいけません。
,赤い,あかい (akai),紅色的,赤い靴はありますか。
,明るい,あかるい (akarui),明亮的,わたしの部屋は明るいです。
,秋,あき (aki),秋天,春と秋とどちらが好きですか。
,開く,あく (aku),打開,ボタンを押すと、ここが開きます。
,開ける,あける (akeru),打開,すみません、窓を開けてもいいですか。
,上げる,あげる (ageru),舉起、抬起,母に花をあげました。
,朝,あさ (asa),早上,朝6時に起きます。
,朝ご飯,あさごはん (asagohan),早餐,朝ごはんはいつもパンとコーヒーです。
,明後日,あさって (asatte),後天,あさって学校は休みです。
,足,あし (ashi),腳,足が痛いです。
,明日,あした (ashita),明天,あした来なくてもいいです。
,あそこ,あそこ (asoko),那邊,あそこに銀行があります。
,遊ぶ,あそぶ (asobu),遊玩,ここで遊んではいけません。
,暖かい,あたたかい (atatakai),溫暖,この部屋は暖かいですね。
,頭,あたま (atama),腦袋,弟は頭がいい。
,新しい,あたらしい (atarashii),新的,この本は新しいです。
,あちら,あちら (achira),那邊,受付はあちらです。
,暑い,あつい (atsui),熱的,台湾の夏は暑いです。
,熱い,あつい (atsui),燙的,火は熱いです。
,厚い,あつい (atsui),厚的,私の辞書はとても厚いです。
,あっち,あっち (atchi),那邊,お母さんは忙しいから、あっち行って。
,後,あと (ato),以後、後面,後でまた来ます。
,あなた,あなた (anata),你,ここにあなたの名前を書いてください。
,兄,あに (ani),哥哥,兄と姉がいます。
,姉,あね (ane),姊姊,兄と姉がいます。
,あの,あの (ano),那個,あのワインをください。
,あのう,あのう (anou),請問,あのう、これ、ほんの気持ちです。
,アパート,アパート (apaato),公寓,このアパートは駅から歩いて7分です。
,あびる,あびる (abiru),淋浴,シャワーを浴びて学校へ行きます。
,危ない,あぶない (abunai),危險的,危ないですから、入らないでください。
,甘い,あまい (amai),甜的,甘いお菓子が食べたいです。
,あまり,あまり (amari),不太~,あまり暑くないです。
,雨,あめ (ame),雨、雨天,雨が降っています。
,飴,あめ (ame),糖果,歯に良くないですから、飴は食べません。
,洗う,あらう (arau),清洗,お風呂に入って、髪を洗いました。
,ある,ある (aru),有,ここにりんごがあります。
,歩く,あるく (aruku),走路,一日に30分歩いています。
,あれ,あれ (are),那個,すみません、あれを見せてください。
,良い,いい/よい (ii/yoi),好、合適,これはいい辞書です。
,いいえ,いいえ (iie),不是,これは名刺ですか。いいえ、カードです。
,言う,いう (iu),說,首相は景気が悪いと言いました。
,家,いえ (ie),房子,家から学校までどのくらいかかりますか。
,いかが,いかが (ikaga),如何,こちらのシャツはいかがですか。
,行く,いく (iku),去,歩いて駅へ行きます。
,いくつ,いくつ (ikutsu),幾個、幾歲,箱の中にりんごがいくつありますか。
,いくら,いくら (ikura),多少錢,あそこにあるカメラはいくらですか。
,池,いけ (ike),池子,庭に池があります。
,医者,いしゃ (isha),醫生,イーさんは医者です。
,椅子,いす (isu),椅子,いすの下にねこがいます。
,忙しい,いそがしい (isogashii),忙碌,仕事は忙しいですが、楽しいです。
,痛い,いたい (itai),疼痛,おなかがいたいです。
,一,いち (ichi),一,一を聞いて十を知る
,一日,いちにち (ichinichi),一天,船で行くと、一日かかります。（與ついたち同字異音）
