詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,風呂,ふろ (furo),浴室,お風呂に入りたいです。
,文章,ぶんしょう (bunshou),文章,日本語で文章を書くことができますか。
,ページ,ページ (peeji),頁,先生は67ページの練習は宿題だと言いました。
,下手,へた (heta),糟糕的,練習しませんでしたから、へたになりました。
,ベッド,ベッド (beddo),床,このベッドはフランスのベッドです。
,ペット,ペット (petto),寵物,わたしのへやはペットを飼うことができます。
,部屋,へや (heya),房間,わたしのへやは明るくてきれいです。
,辺,へん (hen),邊緣,荷物はそのへんにおいておいてください。
,ペン,ペン (pen),筆,赤いペンを貸してください。
,勉強,べんきょう (benkyou),學習,日本へ経済のべんきょうに来ました。
,便利,べんり (benri),方便的,東京は交通がべんりです。
,帽子,ぼうし (boushi),帽子,夏は帽子をかぶったほうがいいです。
,ボールペン,ボールペン (boorupen),原子筆,ボールペンをポケットに入れました。
,ほか,ほか (hoka),其他,ほかに誰が手伝いに行きますか。
,ポケット,ポケット (poketto),口袋,ボールペンをポケットに入れました。
,欲しい,ほしい (hoshii),想要、需要,大きいうちが欲しいです。
,ポスト,ポスト (posuto),郵筒、信箱,この近くにポストはありますか。
,細い,ほそい (hosoi),細的,もう少しほそいえんぴつはありませんか。
,ボタン,ボタン (botan),按鍵,このボタンをおすと、電気がつきます。
,ホテル,ホテル (hoteru),飯店、旅館,これからホテルの予約をします。
,本,ほん (hon),書,これはコンピューターの本です。
,本棚,ほんだな (hondana),書架,本棚ににほんごのじしょがあります。
,本当,ほんとう (hontou),真的,あした学校は休みですよ。ええ、ほんとうですか。
,曲がる,まがる (magaru),轉彎、彎曲,あの角を曲がると、郵便局が見えます。
,まずい,まずい (mazui),難吃的,自分で料理をつくりましたが、まずかったです。
,また,また (mata),又是,明日また来ます。
,まだ,まだ (mada),還~、依然,ミラーさんはまだ来ませんか。
,町,まち (machi),城鎮,わたしの生まれたまちは大きな川があります。
,待つ,まつ (matsu),等待,ちょっとまってください。
,真っ直ぐ,まっすぐ (massugu),直接、直直的,この道をまっすぐ行ってください。
,マッチ,マッチ (matchi),火柴,マッチを持っていますか。
,窓,まど (mado),窗戶,窓が開いています。
,丸い,まるい (marui),圓的,このいぬの目はまるい。
,万年筆,まんねんひつ (mannenhitsu),鋼筆,このまんねんひつは父にもらいました。
,磨く,みがく (migaku),刷、磨,寝る前にはをみがいて、おふろに入りました。
,右,みぎ (migi),右邊,右と左をよくみて歩きましょう。
,短い,みじかい (mijikai),短的,このスカートはすこし短い。
,水,みず (mizu),水,みずとジュースとどちらがいいですか。
,店,みせ (mise),商店,外国でいろいろな花の店を見たいです。
,見せる,みせる (miseru),給~看,パスポートを見せなければなりません。
,道,みち (michi),道路,この道をまっすぐ行ってください。
,緑,みどり (midori),綠色,この公園は緑がおおくてきれいです。
,皆さん,みなさん (minasan),大家,みなさん、おはようございます。
,南,みなみ (minami),南邊,わたしのへやのまどは南にあります。
,耳,みみ (mimi),耳朵,ねこの耳はかわいいです。
,見る,みる (miru),看見,休みの日はテレビを見たり、散歩したりします。
,皆,みんな (minna),都,みんなで歌を歌います。
,向こう,むこう (mukou),對面、前方,あの山の向こうに川があります。
,難しい,むずかしい (muzukashii),困難的,この問題は難しいです。
,村,むら (mura),村莊,50年前、ここは小さな村でした。
,目,め (me),眼睛,ひとつめのかどを右へ曲がってください。
,メートル,メートル (meetoru),公尺,わたしは500メートルおよぐことができます。
,眼鏡,めがね (megane),眼鏡,ワット先生はめがねをかけています。
,もう,もう (mou),再、另外、已經,ミラーさんはもう帰りました。
,木曜日,もくようび (mokuyoubi),星期四,木曜日はがっこうにこなくていいです。
,もしもし,もしもし (moshimoshi),喂喂,もしもし、大井さんですか。
,持つ,もつ (motsu),拿、帶來,荷物をもちましょうか。
,もっと,もっと (motto),更加,もっと大きい声で言ってください。
,物,もの (mono),東西,食べ物　いろいろな物
,門,もん (mon),大門,あそこに学校の門が見えます。
,問題,もんだい (mondai),問題,問題の答えは書かないでください。
,八百屋,やおや (yaoya),蔬菜店,野菜はやおやで売っています。
,野菜,やさい (yasai),蔬菜,もっと野菜を食べましょう。
,易しい,やさしい (yasashii),簡單的,きのうのテストはやさしかったです。
,安い,やすい (yasui),便宜的,台湾の食べ物はやすくておいしいです。
,休み,やすみ (yasumi),休假,休みの日はどこも行きません。
,休む,やすむ (yasumu),休息,会社をやすむときは電話をしなければなりません。
,山,やま (yama),山,台湾でいちばん高い山は玉山です。
,やる,やる (yaru),做,この問題はどうやったらいいですか。
,夕方,ゆうがた (yuugata),傍晚,夕方から寒くなります。
,夕飯,ゆうはん (yuuhan),碗飯,母が作った夕飯が食べたいです。
,郵便局,ゆうびんきょく (yuubinkyoku),郵局,昼休みはゆうびんきょくへ行かなければなりません。
,ゆうべ,ゆうべ (yuube),昨晚,ゆうべはお酒を4杯飲みました。
,有名,ゆうめい (yuumei),有名的,富士山は有名です。
,雪,ゆき (yuki),雪,雪を見たことがありますか。
,ゆっくり,ゆっくり (yukkuri),慢慢的,もっとゆっくり言ってください。
,洋服,ようふく (youfuku),西式衣服,いつもデパートで洋服を買います。
,よく,よく (yoku),經常,よく行きます。
,横,よこ (yoko),旁邊、側邊,パソコンのよこに電話があります。
,呼ぶ,よぶ (yobu),呼叫,タクシーを呼びましょうか。
,読む,よむ (yomu),閱讀,姉の書いた手紙を読みました。
,夜,よる (yoru),夜晚,いつも夜１２時に寝ます。
,弱い,よわい (yowai),虛弱的,体が弱いですね、もっと運動してください。
,来月,らいげつ (raigetsu),下個月,来月は7月です。
,来週,らいしゅう (raishuu),下星期,来週からテストが始まります。
,来年,らいねん (rainen),明年,来年は3年生になります。
,ラジオ,ラジオ (rajio),廣播,毎日英語のラジオを聞いています。
,ラジカセ,ラジカセ (rajikase),收音機,このラジカセはとても安かったです。
,立派,りっぱ (rippa),氣派的,もう21歳ですか、りっぱになりましたね。
,留学生,りゅうがくせい (ryuugakusei),留學生,アリさんはインドの留学生です。
,両親,りょうしん (ryoushin),雙親,両親はアメリカに住んでいます。
,料理,りょうり (ryouri),料理,どんな料理をつくることができますか。
,旅行,りょこう (ryokou),旅行,夏休みに外国へ旅行に行きたいです。
,冷蔵庫,れいぞうこ (reizouko),冰箱,冷蔵庫にビールを入れました。
,レコード,レコード (rekoodo),唱片,いまはレコードよりCDのほうが便利です。
,レストラン,レストラン (resutoran),餐廳,あのレストランでお昼ご飯をたべましょう。
,練習,れんしゅう (renshuu),練習,たくさん練習しましたから上手になりました。
,廊下,ろうか (rouka),走廊,廊下を走らないでください。
,ワイシャツ,ワイシャツ (waishatsu),白襯衫,出張しますからワイシャツを3枚もっていきます。
,若い,わかい (wakai),年輕的,わかくてきれいな奥さんですね。
,分かる,わかる (wakaru),明白,ハンさんは英語がわかります。
