詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,おじいさん,おじいさん (ojiisan),祖父,おじいさんにふるい歌をおしえてもらいました。
,教える,おしえる (oshieru),教導,おじいさんにふるい歌をおしえてもらいました。
,押す,おす (osu),壓、推,このボタンを押すとドアが開きます。
,遅い,おそい (osoi),慢、晚,ミラーさん遅いですね、もう10時ですよ。
,お茶,おちゃ (ocha),茶,冷たいお茶はいかがですか。
,お手洗い,おてあらい (otearai),洗手間,すみません、お手洗いはどちらですか。
,お父さん,おとうさん (otousan),父親,田中さんのお父さんはさくら大学の先生です。
,弟,おとうと (otouto),弟弟,おとうとさんは何さいですか。
,男,おとこ (otoko),男人,あの男の人はどなたですか。
,男の子,おとこのこ (otokonoko),男孩,公園に男の子が4人います。
,おととい,おととい (ototoi),前天,おとといは水曜日でした。
,おととし,おととし (ototoshi),前年,おととし妹はアメリカへ行きました。
,大人,おとな (otona),成人,大人は100円です。
,おなか,おなか (onaka),肚子,おなかがすきました。
,同じ,おなじ (onaji),相同,「ソ」と「ン」は同じですか？いいえ、ちがいます。
,お兄さん,おにいさん (oniisan),哥哥,田中さんのお兄さんは大学生です。
,お姉さん,おねえさん (oneesan),姊姊,吉田さんのお姉さんは銀行員です。
,おばさん,おばさん (obasan),伯母,おばはピアノが上手です。
,おばあさん,おばあさん (obaasan),祖母,おばあさんはいつもお菓子をくれます。
,お風呂,おふろ (ofuro),浴室,寒いときはお風呂に入りたいです。
,お弁当,おべんとう (obentou),便當,姉がおべんとうをつくってくれました。
,覚える,おぼえる (oboeru),記得、學會,この単語を来週までにおぼえてください。
,お巡りさん,おまわりさん (omawarisan),警察,おまわりさん、これ、おちていました。
,重い,おもい (omoi),重的,このかばんはおもいです。
,面白い,おもしろい (omoshiroi),有趣的,ミラーさん、この本はとてもおもしろいですよ。
,泳ぐ,およぐ (oyogu),游泳,わたしは５００メートルおよぐことができます。
,降りる,おりる (oriru),降下、掉下,駅でバスを降りてください。
